respid,status,language,gender,age,province,license_mutualfunds,license_insurance,license_securities,educ,marital_status,children,scn1a_name,scn1a_apr,scn1a_mtr,scn1a_solicit,scn1a_answer,scn1b_name,scn1b_apr,scn1b_mtr,scn1b_solicit,scn1b_answer,scn2a_name,scn2a_bequest,scn2a_rate,scn2a_health,scn2a_solicit,scn2a_payout,scn2a_comp,scn2a_answer,scn2b_name,scn2b_bequest,scn2b_rate,scn2b_health,scn2b_solicit,scn2b_payout,scn2b_comp,scn2b_answer,scn3a_name,scn3a_borrow,scn3a_health,scn3a_rate,scn3a_solicit,scn3a_answer,scn3b_name,scn3b_borrow,scn3b_health,scn3b_rate,scn3b_solicit,scn3b_answer,scn4a_name,scn4a_mutfees,scn4a_segfees,scn4a_solicit,scn4a_answer,scn4b_name,scn4b_mutfees,scn4b_segfees,scn4b_solicit,scn4b_answer,employment,certification_qafp,certification_cfp,certification_plfin,certification_dk,certification_pnts,certification_cim,certification_cfa,certification_clu,certification_cpa,certification_tep,certification_pfp,certification_rfp,certification_rrc,certification_chs,certification_cpfintl,certification_epc,certification_other,license_prod_ul,license_prod_mf,license_prod_segfund,license_prod_annuities,license_prod_ltci,license_prod_ilgic,license_prod_etf,work_experience,Q16dk_7777777,Q16dk_8888888,service,compensation,comp_salaryonly,comp_salarybonus,comp_commissions,comp_aum,comp_ffa,comp_other,refer,patience,risk,emo_extra_enthu,emo_criti_quarrel,emo_depend_selfdis,emo_anxious_upset,emo_open_complex,emo_reser_quiet,emo_sympa_warm,emo_disorg_careless,emo_calm_stable,emo_convent_uncreative,state_bequest,state_inherithome,state_sellhome,state_debtnogood,state_qualitylife,state_investshares,state_optimfinpl,income,income_dk_pnts,income_gt60k,income_lt160k,income_gt90k,income_lt30k,fparea_ag,fparea_credit,fparea_intl,fparea_divorce,fparea_educ,fparea_groupben,fparea_estate,fparea_execomp,fparea_insur,fparea_invest,fparea_mortgage,fparea_disabil,fparea_privbank,fparea_respinvest,fparea_retplan,fparea_smallbus,fparea_succplan,fparea_taxplan,prod_own_ul,prod_own_mf,prod_own_segfund,prod_own_annuities,prod_own_ltci,prod_own_ilgic,prod_own_etf,prod_own_realestate,value_realestate,value_realestate_dkpnts,prod_spouse_ul,prod_spouse_mf,prod_spouse_segfund,prod_spouse_annuities,prod_spouse_ltci,prod_spouse_ilgic,prod_spouse_etf,prod_spouse_realestate,db_plan,rrsp_own,rrsp_balance,rrsp_share,tfsa_own,tfsa_balance,tfsa_share,grouplan_own,grouplan_balance,grouplan_share,dcplan_own,dcplan_balance,dcplan_share,otheracc_own,otheracc_balance,otheracc_share,accounts_pnts,debt_thresh1,debt_thresh2,debt,debt_dk_pnts,debt_gt1,debt_lt2,stockmkt_expectation,Q32dk_7777777,stockmkt_confidence,stockmkt_40p,stockmkt_30_40,stockmkt_20_30,stockmkt_10_20,stockmkt_0_10,stockmkt_m10_0,stockmkt_m20_m10,stockmkt_m30_m20,stockmkt_m40_m30,stockmkt_m40p,selfass,selfconf,credits,timestamp,sample,income_impute,debt_impute,time,reminder
100712,complete,French,Man,26,Quebec,yes,yes,yes,"University certificate, diploma, degree above the bachelor's level",Married,no,Monica,7.5%,30%,UL prompt,Repay debt,Sally,2.5%,50%,No prompt,RRSP,Suzie,with his/her partner who is 10 years younger,4%,good (average),Mutual Funds prompt,"15,750",No prompt,Diversified MF with RATE and COMP,Paul,alone and has no children,6%,poor (below average),No prompt,"14,000",Investment sale contributes to comp,Diversified MF with RATE and COMP,Sophie,1.5%,good (average),2%,Mortgage prompt,Invest in funds at expected RATE,Joe,3.5%,poor (below average),5%,No prompt,Invest in funds at expected RATE,Greg,1%,3%,ETF prompt,Index-Linked GIC,Kate,2%,2%,No prompt,Index-Linked GIC,Financial Planning Firm,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,2.0,0,0,Fin. plan. including implementation (sales),Primarily fee for advice,no,no,no,no,yes,no,Frequently,Patient,Substantial fin risks for substantial returns,Agree moderately,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,Strongly Disagree,Don't know,Agree,Strongly Disagree,Agree,Agree,Disagree,110000.0,0,,,,,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,600000.0,0.0,no,yes,no,no,no,no,yes,yes,no,yes,45000.0,almost all,yes,82000.0,almost all,no,,,no,,,no,,,0,600000,300000,580000.0,0,,,8.0,0,Somewhat confident,0.0,0.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,It is better than average,"Yes, I have some confidence",,Mon Oct 18 16:48:10 UTC+0 2021,IQPF,110000.0,580000.0,Oct 18,0
100017,complete,French,Man,47,Quebec,yes,yes,yes,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Married,yes,James,7.5%,50%,UL prompt,RRSP,Sally,2.5%,30%,No prompt,TFSA,Paul,alone and has no children,6%,poor (below average),Mutual Funds prompt,"14,000",No prompt,Diversified MF with RATE and COMP,Mary,with his/her partner who is 10 years younger,4%,good (average),No prompt,"15,750",Investment sale contributes to comp,Diversified MF with RATE and COMP,Isabelle,1.5%,poor (below average),2%,Mortgage prompt,LTCI at cost NAME (280 or 210),Justin,2.5%,excellent (above average),3%,No prompt,LTCI at cost NAME (280 or 210),Mike,3%,3%,No prompt,ETF,Greg,2%,2%,ETF prompt,ETF,Bank,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,20.0,0,0,Advice on investments,Primarily Assets under Management,no,no,no,yes,no,no,Occasionally,Patient,Average fin risks for average returns,Agree moderately,Disagree strongly,Agree strongly,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Agree moderately,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,200000.0,0,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,,,no,yes,no,no,no,no,yes,no,yes,yes,750000.0,almost all,yes,50000.0,almost all,yes,55000.0,almost all,no,,,no,,,0,100000,50000,0.0,0,,,7.0,0,Somewhat confident,0.0,0.0,0.0,20.0,40.0,20.0,10.0,5.0,5.0,0.0,It is better than average,"No, I have no confidence at all",,Mon Oct 18 16:51:37 UTC+0 2021,IQPF,200000.0,0.0,Oct 18,0
102722,complete,French,Woman,40,Quebec,yes,yes,no,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Living common-law,yes,Sally,2.5%,30%,No prompt,TFSA,Peter,5%,50%,UL prompt,RRSP,John,with his/her partner who is 10 years younger,4%,poor (below average),Mutual Funds prompt,"15,750",No prompt,Diversified MF with RATE and COMP,Paul,alone and has no children,10%,excellent (above average),No prompt,"14,000",Investment sale contributes to comp,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Isabelle,3.5%,poor (below average),2%,Mortgage prompt,LTCI at cost NAME (280 or 210),Joe,2.5%,excellent (above average),3%,No prompt,Invest in funds at expected RATE,Mike,1%,4%,No prompt,Mutual Fund of MUTFEES,Kate,2%,3%,ETF prompt,Mutual Fund of MUTFEES,Self-employed,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,1.0,0,0,Fin. plan. including implementation (sales),Primarily fee for advice,no,no,no,no,yes,no,Frequently,Patient,Above average fin risks for above-average returns,Disagree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,65000.0,0,,,,,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,no,no,yes,150000.0,almost all,yes,15000.0,half,no,,,no,,,no,,,0,100000,50000,295000.0,0,,,6.0,0,Somewhat confident,1.0,3.0,5.0,15.0,50.0,15.0,5.0,3.0,2.0,1.0,Don't know,"Yes, I have some confidence",,Mon Oct 18 17:04:21 UTC+0 2021,IQPF,65000.0,295000.0,Oct 18,0
102364,complete,English,Woman,41,Quebec,yes,no,no,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Married,yes,Sally,5%,30%,No prompt,RRSP,Peter,7.5%,50%,UL prompt,RRSP,Suzie,alone and has no children,4%,good (average),No prompt,"15,750",No prompt,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Mary,with his/her partner who is 10 years younger,10%,excellent (above average),Mutual Funds prompt,"14,000",Investment sale contributes to comp,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Justin,3.5%,poor (below average),3%,Mortgage prompt,Invest in funds at expected RATE,Sophie,1.5%,excellent (above average),2%,No prompt,LTCI at cost NAME (280 or 210),Greg,2%,4%,No prompt,ETF,Kate,3%,3%,ETF prompt,ETF,Bank,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,16.0,0,0,Fin. plan. including implementation (sales),Salary plus bonus based on sales,no,yes,no,no,no,no,Frequently,Very patient,Above average fin risks for above-average returns,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,150000.0,0,,,,,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,,,yes,yes,no,no,yes,yes,yes,yes,yes,yes,250000.0,almost all,yes,80000.0,half,yes,40000.0,almost all,no,,,no,,,0,100000,50000,30000.0,0,,,15.0,0,Very confident,0.0,0.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,It is better than average,"Yes, I have some confidence",,Mon Oct 18 16:59:04 UTC+0 2021,IQPF,150000.0,30000.0,Oct 18,0
100126,complete,French,Man,65,Quebec,yes,yes,no,University certificate or diploma below the bachelor's level,Living common-law,yes,Peter,7.5%,50%,UL prompt,RRSP,Sally,2.5%,30%,No prompt,TFSA,Paul,alone and has no children,4%,excellent (above average),No prompt,"14,000",No prompt,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Suzie,with his/her partner who is 10 years younger,10%,good (average),Mutual Funds prompt,"15,750",Investment sale contributes to comp,Seg funds with PAYOUT,Joe,2.5%,good (average),3%,No prompt,Payoff mortgage,Isabelle,1.5%,poor (below average),5%,Mortgage prompt,Payoff mortgage,Kate,2%,4%,No prompt,Index-Linked GIC,Linda,3%,3%,ETF prompt,Index-Linked GIC,Self-employed,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,15.0,0,0,Fin. plan. including implementation (sales),Primarily Assets under Management,no,no,no,yes,no,no,Occasionally,Patient,Average fin risks for average returns,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,150000.0,0,,,,,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,,,yes,yes,no,no,no,no,no,no,no,yes,350000.0,half,yes,90000.0,half,no,,,no,,,no,,,0,100000,50000,0.0,0,,,6.0,0,Somewhat confident,40.0,10.0,20.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,Don't know,"Yes, I have some confidence",,Mon Oct 18 17:11:51 UTC+0 2021,IQPF,150000.0,0.0,Oct 18,0
100198,complete,English,Woman,65,Quebec,yes,yes,no,University certificate or diploma below the bachelor's level,Living common-law,yes,Monica,5%,30%,No prompt,Repay debt,James,7.5%,50%,UL prompt,Repay debt,Paul,with his/her partner who is 10 years younger,6%,poor (below average),Mutual Funds prompt,"15,750",No prompt,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",John,alone and has no children,4%,good (average),No prompt,"14,000",Investment sale contributes to comp,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Sophie,2.5%,poor (below average),3%,No prompt,LTCI at cost NAME (280 or 210),Justin,3.5%,excellent (above average),2%,Mortgage prompt,LTCI at cost NAME (280 or 210),Mike,3%,4%,No prompt,Index-Linked GIC,Kate,1%,2%,ETF prompt,Index-Linked GIC,Financial Planning Firm,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,25.0,0,0,Fin. plan. including implementation (sales),Primarily Assets under Management,no,no,no,yes,no,no,Frequently,Very patient,Average fin risks for average returns,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,200000.0,0,,,,,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,,1.0,yes,yes,yes,yes,no,yes,no,yes,no,no,,,no,,,no,,,no,,,no,,,1,500000,250000,0.0,0,,,,1,Don't know,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,It is better than average,"Yes, I have some confidence",,Mon Oct 18 16:53:23 UTC+0 2021,IQPF,200000.0,0.0,Oct 18,0
100351,complete,French,Man,37,Quebec,yes,no,no,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Living common-law,yes,Monica,7.5%,30%,UL prompt,Repay debt,Sally,2.5%,50%,No prompt,RRSP,John,with his/her partner who is 10 years younger,10%,good (average),No prompt,"14,000",No prompt,Diversified MF with RATE and COMP,Paul,alone and has no children,6%,poor (below average),Mutual Funds prompt,"15,750",Investment sale contributes to comp,Diversified MF with RATE and COMP,Sophie,1.5%,poor (below average),5%,No prompt,Invest in funds at expected RATE,Joe,3.5%,good (average),2%,Mortgage prompt,LTCI at cost NAME (280 or 210),Mike,3%,2%,ETF prompt,ETF,Kate,2%,3%,No prompt,Mutual Fund of MUTFEES,Bank,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,5.0,0,0,Fin. plan. (without implementation),Salary plus bonus based on sales,no,yes,no,no,no,no,Frequently,Very patient,Substantial fin risks for substantial returns,Agree strongly,Agree strongly,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree moderately,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,75000.0,0,,,,,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,260000.0,0.0,no,yes,no,no,no,no,no,yes,yes,yes,50000.0,almost all,yes,25000.0,almost all,yes,25000.0,almost all,no,,,no,,,0,260000,130000,100000.0,0,,,5.0,0,Somewhat confident,5.0,5.0,5.0,10.0,50.0,10.0,5.0,5.0,2.5,2.5,It is better than average,"Yes, I have some confidence",,Mon Oct 18 16:50:54 UTC+0 2021,IQPF,75000.0,100000.0,Oct 18,0
101798,complete,English,Man,46,Quebec,yes,yes,no,"University certificate, diploma, degree above the bachelor's level",Divorced,yes,Peter,5%,50%,No prompt,RRSP,James,7.5%,30%,UL prompt,Repay debt,Mary,alone and has no children,10%,excellent (above average),No prompt,"14,000",Investment sale contributes to comp,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Paul,with his/her partner who is 10 years younger,4%,poor (below average),Mutual Funds prompt,"15,750",No prompt,Seg funds with PAYOUT,Isabelle,3.5%,poor (below average),2%,No prompt,LTCI at cost NAME (280 or 210),Justin,1.5%,good (average),5%,Mortgage prompt,Invest in funds at expected RATE,Linda,1%,3%,No prompt,ETF,Greg,2%,2%,ETF prompt,ETF,Financial Planning Firm,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,14.0,0,0,Advice on insurance,Salary plus bonus based on sales,no,yes,no,no,no,no,Occasionally,Patient,Above average fin risks for above-average returns,Disagree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Don't know,Don't know,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,290000.0,0,,,,,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,950000.0,0.0,,,,,,,,,no,yes,110000.0,half,yes,80000.0,almost all,yes,100000.0,almost all,no,,,yes,60000.0,zero,0,950000,475000,550000.0,0,,,5.0,0,Somewhat confident,0.0,0.0,10.0,15.0,50.0,15.0,10.0,0.0,0.0,0.0,It is better than average,"Yes, very much",,Mon Oct 18 17:00:51 UTC+0 2021,IQPF,290000.0,550000.0,Oct 18,0
101477,complete,French,Man,69,Quebec,no,yes,no,High school diploma or a high school equivalency certificate,Living common-law,yes,Monica,7.5%,30%,No prompt,TFSA,Peter,5%,50%,UL prompt,RRSP,Mary,with his/her partner who is 10 years younger,4%,good (average),No prompt,"15,750",Investment sale contributes to comp,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",John,alone and has no children,6%,poor (below average),Mutual Funds prompt,"14,000",No prompt,Diversified MF with RATE and COMP,Isabelle,1.5%,excellent (above average),5%,Mortgage prompt,Invest in funds at expected RATE,Justin,2.5%,good (average),2%,No prompt,Invest in funds at expected RATE,Mike,2%,4%,No prompt,Index-Linked GIC,Greg,3%,2%,ETF prompt,ETF,Self-employed,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no,25.0,0,0,Advice on insurance,Primarily Assets under Management,no,no,no,yes,no,no,Frequently,Patient,Average fin risks for average returns,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,225000.0,0,,,,,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,300000.0,0.0,no,no,no,no,no,no,no,yes,no,yes,60000.0,half,yes,20000.0,half,yes,0.0,zero,yes,0.0,zero,yes,30000.0,zero,0,300000,150000,10000.0,0,,,10.0,0,Prefer not to say,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,It is about the same,"Yes, I have some confidence",,Mon Oct 18 17:12:11 UTC+0 2021,IQPF,225000.0,10000.0,Oct 18,0
101850,complete,French,Woman,52,Quebec,yes,no,no,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Living common-law,yes,Monica,5%,30%,No prompt,Repay debt,Sally,2.5%,50%,UL prompt,RRSP,Suzie,with his/her partner who is 10 years younger,6%,excellent (above average),No prompt,"15,750",Investment sale contributes to comp,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",John,alone and has no children,10%,good (average),Mutual Funds prompt,"14,000",No prompt,"Partial $10,000 life annuity with payout NAME (151,975.68 or 163,265.31)",Joe,3.5%,good (average),3%,Mortgage prompt,LTCI at cost NAME (280 or 210),Sophie,2.5%,excellent (above average),5%,No prompt,LTCI at cost NAME (280 or 210),Kate,1%,3%,ETF prompt,Index-Linked GIC,Mike,3%,2%,No prompt,Index-Linked GIC,Credit Union,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,23.0,0,0,Advice on investments,Salary plus bonus based on sales,no,yes,no,no,no,no,Frequently,Patient,Average fin risks for average returns,Neither agree nor disagree,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Disagree a little,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,85000.0,0,,,,,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,150000.0,0.0,yes,yes,no,no,no,yes,no,yes,yes,yes,100000.0,half,yes,25000.0,almost all,no,,,no,,,no,,,0,150000,75000,15000.0,0,,,5.0,0,Somewhat confident,0.0,0.0,0.0,10.0,60.0,20.0,10.0,0.0,0.0,0.0,It is about the same,"Yes, I have some confidence",,Mon Oct 18 16:48:48 UTC+0 2021,IQPF,85000.0,15000.0,Oct 18,0
