respid,status,l,QA,QB,QC,QD_1,QD_2,QD_3,Q1,Q2,Q3,NAMExS_1,APR_1,MTR_1,SOLICITxS_1,Q4,NAMExS_2,APR_2,MTR_2,SOLICITxS_2,Q5,NAMExL_1,BEQUESTxL_1,RATExL_1,HEALTHxL_1,SOLICITxL_1,PAYOUT_1,COMP_1,Q6,NAMExL_2,BEQUESTxL_2,RATExL_2,HEALTHxL_2,SOLICITxL_2,PAYOUT_2,COMP_2,Q7,NAMExC_1,BORROW_1,HEALTHxC_1,RATExC_1,SOLICITxC_1,Q8,NAMExC_2,BORROW_2,HEALTHxC_2,RATExC_2,SOLICITxC_2,Q9,NAMExI_1,MUTFEES_1,SEGFEES_1,SOLICITxI_1,Q10,NAMExI_2,MUTFEES_2,SEGFEES_2,SOLICITxI_2,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_7777777,Q13_8888888,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16,Q16dk_7777777,Q16dk_8888888,Q17,Q18,hQ18_1,hQ18_2,hQ18_3,hQ18_4,hQ18_5,hQ18_6,Q19,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q24,Q24dk_9999999,Q24a,Q24b,Q24c,Q24d,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q27,Q27dk_9999999,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q29,Q30x1_1,Q30x2_1,Q30x3_1,Q30x1_2,Q30x2_2,Q30x3_2,Q30x1_3,Q30x2_3,Q30x3_3,Q30x1_4,Q30x2_4,Q30x3_4,Q30x1_5,Q30x2_5,Q30x3_5,Q30x1_9999999,hQ31Num1,hQ31Num2,Q31,Q31dk_9999999,Q31a,Q31b,Q32,Q32dk_7777777,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q34_9,Q34_10,Q35,Q36,Q39,timestamp,sample
100712,complete,3084,1,26,6,1,1,1,7,1,2,4,3,1,1,4,3,1,2,0,1,3,2,1,2,1,1,0,1,2,1,2,3,0,2,1,1,3,1,2,1,1,2,1,3,3,3,0,2,2,1,2,1,1,4,2,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2.0,0,0,4,5,0,0,0,0,1,0,1,2,1,6,2,6,5,5,6,6,2,6,6,2,1,4,2,4,4,3,110000.0,0,,,,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,600000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,45000.0,5.0,1,82000.0,5.0,0,,,0,,,0,,,0,600000,300000,580000.0,0,,,8.0,0,3,0.0,0.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,1,2,,Mon Oct 18 16:48:10 UTC+0 2021,1
100017,complete,3084,1,47,6,1,1,1,6,1,1,1,3,2,1,1,3,1,1,0,2,2,1,2,3,1,2,0,1,4,2,1,2,0,1,1,1,4,1,3,1,1,3,2,2,1,2,0,3,1,3,2,0,4,2,2,1,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,20.0,0,0,2,4,0,0,0,1,0,0,2,2,3,6,1,7,2,6,6,6,1,6,6,3,3,4,4,3,5,3,200000.0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,750000.0,5.0,1,50000.0,5.0,1,55000.0,5.0,0,,,0,,,0,100000,50000,0.0,0,,,7.0,0,3,0.0,0.0,0.0,20.0,40.0,20.0,10.0,5.0,5.0,0.0,1,3,,Mon Oct 18 16:51:37 UTC+0 2021,1
102722,complete,3084,2,40,6,1,1,0,6,2,1,3,1,1,0,2,2,2,2,1,1,1,2,1,3,1,1,0,1,2,1,3,1,0,2,1,2,4,3,3,1,1,3,1,2,1,2,0,2,1,1,3,0,2,4,2,2,1,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1.0,0,0,4,5,0,0,0,0,1,0,1,2,2,2,4,7,2,6,7,7,1,7,2,3,3,3,5,3,3,3,65000.0,0,,,,,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,150000.0,5.0,1,15000.0,4.0,0,,,0,,,0,,,0,100000,50000,295000.0,0,,,6.0,0,3,1.0,3.0,5.0,15.0,50.0,15.0,5.0,3.0,2.0,1.0,7777777,2,,Mon Oct 18 17:04:21 UTC+0 2021,1
102364,complete,9,2,41,6,1,0,0,6,1,1,3,2,1,0,1,2,3,2,1,1,3,1,1,2,0,1,0,2,4,2,3,1,1,2,1,2,2,3,3,2,1,2,3,1,1,1,0,3,2,2,3,0,4,4,3,2,1,4,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,16.0,0,0,4,2,0,1,0,0,0,0,1,1,2,7,2,7,1,7,4,7,1,6,2,4,4,3,4,3,3,3,150000.0,0,,,,,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,250000.0,5.0,1,80000.0,4.0,1,40000.0,5.0,0,,,0,,,0,100000,50000,30000.0,0,,,15.0,0,2,0.0,0.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,1,2,,Mon Oct 18 16:59:04 UTC+0 2021,1
100126,complete,3084,1,65,6,1,1,0,5,2,1,2,3,2,1,1,3,1,1,0,2,2,1,1,1,0,2,0,2,3,2,3,2,1,1,1,3,1,2,2,2,0,1,4,1,3,3,1,1,4,2,3,0,1,3,3,2,1,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,15.0,0,0,4,4,0,0,0,1,0,0,2,2,3,7,1,7,5,7,7,7,1,6,2,3,3,3,5,4,4,2,150000.0,0,,,,,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,350000.0,4.0,1,90000.0,4.0,0,,,0,,,0,,,0,100000,50000,0.0,0,,,6.0,0,3,40.0,10.0,20.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,7777777,2,,Mon Oct 18 17:11:51 UTC+0 2021,1
100198,complete,9,2,65,6,1,1,0,5,2,1,4,2,1,0,4,1,3,2,1,4,2,2,2,3,1,1,0,2,1,1,1,2,0,2,1,2,3,2,3,2,0,3,2,3,1,1,1,3,1,3,3,0,1,4,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,25.0,0,0,4,4,0,0,0,1,0,0,1,1,3,3,1,7,1,4,7,7,1,7,3,3,3,3,5,4,3,2,200000.0,0,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2,0,,,0,,,0,,,0,,,0,,,1,500000,250000,0.0,0,,,,1,7777777,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1,2,,Mon Oct 18 16:53:23 UTC+0 2021,1
100351,complete,3084,1,37,6,1,0,0,6,2,1,4,3,1,1,4,3,1,2,0,1,1,2,3,2,0,2,0,1,2,1,2,3,1,1,1,1,3,1,3,3,0,2,1,3,2,1,1,3,1,3,1,1,4,4,2,2,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0,0,0,3,2,0,1,0,0,0,0,1,1,1,7,7,7,6,7,6,7,1,7,6,2,2,3,3,2,3,2,75000.0,0,,,,,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,260000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,50000.0,5.0,1,25000.0,5.0,1,25000.0,5.0,0,,,0,,,0,260000,130000,100000.0,0,,,5.0,0,3,5.0,5.0,5.0,10.0,50.0,10.0,5.0,5.0,2.5,2.5,1,2,,Mon Oct 18 16:50:54 UTC+0 2021,1
101798,complete,9,1,46,6,1,1,0,7,5,1,2,2,2,0,1,1,3,1,1,4,4,1,3,1,0,2,1,2,2,2,1,3,1,1,0,3,4,3,3,1,0,3,2,1,2,3,1,2,3,1,2,0,4,2,2,1,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,14.0,0,0,1,2,0,1,0,0,0,0,2,2,2,2,3,7,2,6,5,5,1,5,5,1,1,3,2,4,3,2,290000.0,0,,,,,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,950000.0,0.0,,,,,,,,,2,1,110000.0,4.0,1,80000.0,5.0,1,100000.0,5.0,0,,,1,60000.0,2.0,0,950000,475000,550000.0,0,,,5.0,0,3,0.0,0.0,10.0,15.0,50.0,15.0,10.0,0.0,0.0,0.0,1,1,,Mon Oct 18 17:00:51 UTC+0 2021,1
101477,complete,3084,1,69,6,0,1,0,2,2,1,4,3,1,0,2,2,2,2,1,1,4,2,1,2,0,1,1,2,1,1,2,3,1,2,0,1,4,1,1,3,1,2,2,2,2,1,0,2,1,2,3,0,1,2,3,1,1,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,25.0,0,0,1,4,0,0,0,1,0,0,1,2,3,6,2,7,4,7,6,6,3,7,2,3,4,3,3,3,4,4,225000.0,0,,,,,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,60000.0,4.0,1,20000.0,4.0,1,0.0,2.0,1,0.0,2.0,1,30000.0,2.0,0,300000,150000,10000.0,0,,,10.0,0,8888888,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,2,2,,Mon Oct 18 17:12:11 UTC+0 2021,1
101850,complete,3084,2,52,6,1,0,0,6,2,1,4,2,1,0,4,3,1,2,1,1,3,2,2,1,0,1,1,2,1,1,3,2,1,2,0,2,1,3,2,2,1,3,3,2,1,3,0,3,4,1,2,1,1,1,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.0,0,0,2,2,0,1,0,0,0,0,1,2,3,4,1,7,3,3,7,7,3,6,3,3,3,3,3,3,3,2,85000.0,0,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,150000.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,100000.0,4.0,1,25000.0,5.0,0,,,0,,,0,,,0,150000,75000,15000.0,0,,,5.0,0,3,0.0,0.0,0.0,10.0,60.0,20.0,10.0,0.0,0.0,0.0,2,2,,Mon Oct 18 16:48:48 UTC+0 2021,1
